,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
0,64000001,6.8,,6.5,,6.25,,,,,N1,Tiếng Anh
1,64000002,2.4,,,,,4.5,5.25,,,,
2,64000003,7.4,7.75,,,,8.25,,9.5,6.4,N1,Tiếng Anh
3,64000004,5.6,6.5,,,,7.5,5.25,8.5,,N1,Tiếng Anh
4,64000005,5.2,6.25,5.75,5.5,,,,,,N1,Tiếng Anh
5,64000006,4.6,5.25,,,,5.25,,7.25,3.4,N1,Tiếng Anh
6,64000007,6.6,5.75,4.75,5.5,4.25,,,,2.8,N1,Tiếng Anh
7,64000008,2.8,,,,,6.75,5.25,8.25,2.6,N1,Tiếng Anh
8,64000009,4.2,4.5,,,,,6.75,,,,
9,64000010,,,,,,7.25,5.75,8.75,6.8,N1,Tiếng Anh
10,64000011,4.2,,,,,,5.25,6.75,4.2,N1,Tiếng Anh
11,64000012,7.6,7.75,,,,5.25,,,3.6,N1,Tiếng Anh
12,64000013,4.4,5.5,,,,5.75,6.5,,,,
13,64000014,7.8,7.75,7.5,8.25,6.5,,,,6.6,N1,Tiếng Anh
14,64000015,,6.5,,,,4.25,,7.25,,N1,Tiếng Anh
15,64000016,7.8,6.75,,,,5.5,,8.75,3.6,N1,Tiếng Anh
16,64000017,8.6,,,8.75,8.5,,,,,,
17,64000018,6.4,,6.25,5.25,5.25,,,,,N1,Tiếng Anh
18,64000019,3.4,6.5,,,,,4.5,7.25,3.4,N1,Tiếng Anh
19,64000020,7.2,,6.75,,,,,,,,
20,64000021,4.6,,,,,5.75,4.75,,,N1,Tiếng Anh
21,64000022,6.4,,,,,7.75,,9.25,,N1,Tiếng Anh
22,64000023,3.2,3.25,,,,5.25,5.5,,,,
23,64000024,5.8,6.5,,,,,,8.25,4.4,N1,Tiếng Anh
24,64000025,8.2,8.25,6.5,7.5,8.25,,,,6.6,N1,Tiếng Anh
25,64000026,,,,,,5.25,,7.25,,N1,Tiếng Anh
26,64000027,,5.75,,,,5.5,4.75,,,,
27,64000028,5.4,,6.5,7.5,7.25,,,,,N1,Tiếng Anh
28,64000029,,7.5,,,,6.75,6.75,,4.8,N1,Tiếng Anh
29,64000030,2.2,5.5,,,,3.25,,,,,
30,64000031,4.6,5.5,,,,4.5,,,,,
31,64000032,3.4,5.75,,,,,4.75,6.25,3.8,N1,Tiếng Anh
32,64000033,4.2,,,,,,6.5,8.75,,N1,Tiếng Anh
33,64000034,,,,,,7.5,6.5,,,,
34,64000035,5.6,6.25,,,,7.5,6.75,,,,
35,64000036,7.4,,4.25,7.25,,,,,3.6,N1,Tiếng Anh
36,64000037,,6.75,,,,9.25,,,,,
37,64000038,7.2,6.25,,6.25,6.25,,,,,N1,Tiếng Anh
38,64000039,4.6,,,,,4.75,5.25,,3.2,N1,Tiếng Anh
39,64000040,8.4,,7.25,7.75,5.75,,,,,N1,Tiếng Anh
40,64000041,7.2,6.75,6.75,,5.25,,,,,N1,Tiếng Anh
41,64000042,,8.5,,,,,6.25,8.5,7.2,N1,Tiếng Anh
42,64000043,6.6,7.25,,,,6.75,7.5,6.75,4.8,N1,Tiếng Anh
43,64000044,6.8,6.75,,,,4.25,5.75,8.75,1.8,N1,Tiếng Anh
44,64000045,6.6,7.75,,,,8.25,6.5,9.5,,N1,Tiếng Anh
45,64000046,7.6,6.75,,,,7.5,6.5,9.25,4.2,N1,Tiếng Anh
46,64000047,7.4,,,,,7.5,,9.5,,N1,Tiếng Anh
47,64000048,,7.5,,,,6.75,,,5.6,N1,Tiếng Anh
48,64000049,6.6,7.75,,,,6.5,,,5.6,N1,Tiếng Anh
49,64000050,2.8,6.5,,,,,,7.25,2.8,N1,Tiếng Anh
